,epoch,z,ielement,atwt,alat,ibar,rho0,re,zbl,alpha,b0,b1,b2,b3,esub,asub,t1,t2,t3,rozero,rc,delr,attrac,repuls,Cmin,Cmax,Ec,emb_lin_neg,bkgd_dyn,lattice_constant_fcc,bulk_modulus_fcc,c44_fcc,c12_fcc,c11_fcc,cohesive_energy_fcc,thermal_expansion_coeff_fcc,surface_energy_100_fcc
20,160,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.362259864807129,3.1989078521728516,2.2013447284698486,5.099661827087402,0.5063481330871582,4.548493385314941,0.8019860982894897,3.809968948364258,3.185741424560547,5.019902229309082,1.5933268070220947,4.037742614746094,0.1433640718460083,0.07325071096420288,0.06079123914241791,1.0888683795928955,2.87135910987854,4.384509086608887,0.4857597053050995,-0.0815199464559555,3.539024829864502,186.6027069091797,132.38592529296875,154.29200744628906,258.4024963378906,4.4329833984375,1.233787952514831e-05,0.12192465364933014
21,170,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.367104530334473,3.172870635986328,2.204162836074829,5.127101421356201,0.5230587720870972,4.560972213745117,0.8017536997795105,3.8121979236602783,3.2144782543182373,4.991635799407959,1.6310317516326904,4.056723594665527,0.1435798853635788,0.07392457872629166,0.06141819432377815,1.093823790550232,2.8654561042785645,4.388735294342041,0.4825315773487091,-0.07938878983259201,3.537259340286255,186.55581665039062,132.29888916015625,154.12379455566406,258.3979187011719,4.434905052185059,1.234098363056546e-05,0.12195824831724167
22,180,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.371140003204346,3.1529557704925537,2.2073047161102295,5.1525139808654785,0.5402207374572754,4.570282459259033,0.8015171885490417,3.8151960372924805,3.2420973777770996,4.966457366943359,1.6637530326843262,4.074639320373535,0.1436077356338501,0.07461921125650406,0.06192527711391449,1.0974366664886475,2.8604183197021484,4.392653942108154,0.479816734790802,-0.07727151364088058,3.5356554985046387,186.4755401611328,132.19322204589844,153.9569854736328,258.3337707519531,4.436220169067383,1.2345113646006212e-05,0.1219601184129715
23,190,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.375360488891602,3.134127378463745,2.209427833557129,5.176156044006348,0.5564756393432617,4.580069541931152,0.8011770844459534,3.8182730674743652,3.2685623168945312,4.9433512687683105,1.6950865983963013,4.092017650604248,0.14364607632160187,0.075269415974617,0.06242196261882782,1.1010816097259521,2.855492353439331,4.3973493576049805,0.477069616317749,-0.07529176026582718,3.534132719039917,186.46847534179688,132.1315155029297,153.84922790527344,258.37750244140625,4.438961982727051,1.2345148206804879e-05,0.12200417369604111
24,200,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.379401683807373,3.1148226261138916,2.2121689319610596,5.197729587554932,0.5706331729888916,4.588975429534912,0.8009756207466125,3.8212873935699463,3.292886257171631,4.919629096984863,1.7241532802581787,4.106782913208008,0.1437421292066574,0.07577553391456604,0.06286928802728653,1.1040551662445068,2.85107684135437,4.400105953216553,0.47446587681770325,-0.07358240336179733,3.532457113265991,186.42901611328125,132.05210876464844,153.7188720703125,258.3533630371094,4.43934965133667,1.2349512871878687e-05,0.12201835215091705
25,210,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.382889747619629,3.0975546836853027,2.2137985229492188,5.218153953552246,0.5838863849639893,4.597743988037109,0.8007100224494934,3.8235843181610107,3.3163504600524902,4.899890422821045,1.7517149448394775,4.121345520019531,0.1438250094652176,0.07632732391357422,0.06330402940511703,1.1074122190475464,2.8464622497558594,4.40387487411499,0.4720141589641571,-0.07186125218868256,3.531190872192383,186.3979034423828,132.0012664794922,153.59661865234375,258.3631591796875,4.441279888153076,1.235071431437973e-05,0.12205081433057785
26,220,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.386202812194824,3.0806291103363037,2.2155234813690186,5.236881732940674,0.5955156087875366,4.605916500091553,0.800528347492218,3.825620174407959,3.3372819423675537,4.880685806274414,1.7772852182388306,4.134149074554443,0.14394500851631165,0.07679371535778046,0.06370831280946732,1.110506296157837,2.8421218395233154,4.406598091125488,0.46968698501586914,-0.07032383233308792,3.529949903488159,186.35511779785156,131.9425048828125,153.4677276611328,258.3447265625,4.442161560058594,1.2354010323178954e-05,0.12206980586051941
27,230,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.389438629150391,3.064962863922119,2.2167632579803467,5.25405216217041,0.6061152219772339,4.613847732543945,0.8003407716751099,3.8274729251861572,3.3560714721679688,4.863121509552002,1.8011013269424438,4.146028518676758,0.1440718173980713,0.07721938192844391,0.06409335881471634,1.1135663986206055,2.837946891784668,4.4093217849731445,0.4674464464187622,-0.06891051679849625,3.528836488723755,186.3377685546875,131.8966827392578,153.36251831054688,258.3603820800781,4.443438529968262,1.2356158549664542e-05,0.1221005767583847
28,240,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.392320156097412,3.0504958629608154,2.2179980278015137,5.269723892211914,0.6154787540435791,4.620984077453613,0.8001965284347534,3.829183340072632,3.372525930404663,4.846633434295654,1.8227753639221191,4.156628608703613,0.14420217275619507,0.07759605348110199,0.06444238871335983,1.1163667440414429,2.8340630531311035,4.411595821380615,0.4653695523738861,-0.06760688126087189,3.5278267860412598,186.31210327148438,131.84744262695312,153.25682067871094,258.3584899902344,4.444278717041016,1.2359095308056567e-05,0.12212231755256653
29,250,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.39503812789917,3.0372281074523926,2.218890905380249,5.2839741706848145,0.6238919496536255,4.627735614776611,0.8000699877738953,3.830576181411743,3.3874847888946533,4.831970691680908,1.8428573608398438,4.166219711303711,0.14433616399765015,0.07793766260147095,0.06477086991071701,1.1191165447235107,2.8303868770599365,4.413664817810059,0.4634386897087097,-0.0664343535900116,3.5269484519958496,186.2938995361328,131.80545043945312,153.16136169433594,258.36627197265625,4.445209503173828,1.2361369044811e-05,0.12214720249176025
30,260,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.397507667541504,3.0250601768493652,2.219698905944824,5.296814441680908,0.6312779188156128,4.6338934898376465,0.7999683022499084,3.831848382949829,3.4006519317626953,4.818478584289551,1.8611128330230713,4.174693584442139,0.1444719284772873,0.078233502805233,0.06506937742233276,1.1216403245925903,2.8270206451416016,4.415419101715088,0.46165895462036133,-0.0653836727142334,3.5261502265930176,186.2771759033203,131.76568603515625,153.07313537597656,258.37164306640625,4.445920944213867,1.2363680980342906e-05,0.12216924875974655
31,270,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.399753570556641,3.0140326023101807,2.220329999923706,5.308361053466797,0.6377931833267212,4.639553070068359,0.7998822927474976,3.8329217433929443,3.4123923778533936,4.806467533111572,1.877731204032898,4.182202339172363,0.14460591971874237,0.07849591225385666,0.06534282118082047,1.1240092515945435,2.8239243030548096,4.416958332061768,0.4600362479686737,-0.06444963067770004,3.525451183319092,186.2630157470703,131.73045349121094,152.99267578125,258.37860107421875,4.4465837478637695,1.2365679140202701e-05,0.12219063937664032
32,280,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.401116371154785,3.0069262981414795,2.221226930618286,5.3184051513671875,0.644985556602478,4.64372444152832,0.7997255325317383,3.8343334197998047,3.425469398498535,4.797082901000977,1.8903965950012207,4.188823699951172,0.14466626942157745,0.07882873713970184,0.06553127616643906,1.1254501342773438,2.8216240406036377,4.419422626495361,0.458965927362442,-0.06360719352960587,3.524915933609009,186.23556518554688,131.7021942138672,152.92359924316406,258.3695983886719,4.447571754455566,1.2366558621579316e-05,0.12220163643360138
33,290,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.402637958526611,3.001596212387085,2.2225430011749268,5.327170372009277,0.6521841287612915,4.647100925445557,0.7996017336845398,3.836247682571411,3.4392452239990234,4.7886152267456055,1.900976538658142,4.19447135925293,0.14468742907047272,0.079126738011837,0.06567763537168503,1.1262832880020142,2.8198649883270264,4.421544551849365,0.45812270045280457,-0.06294016540050507,3.5243101119995117,186.21768188476562,131.67137145996094,152.87278747558594,258.3603515625,4.448000907897949,1.2367561794235371e-05,0.1222076565027237
